Year,Region,State,District,Lat,Lon,Rainfall_IMD_mm,Soil_Moisture_Historical,Mean_Temp_Historical,NDVI_Vegetation_Index,Soil_pH,Soil_Type,Nitrogen,Phosphorus,Potassium,Recommended_Crop,Historical_MSP_INR
2015,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1016.7,0.227,26.9,0.75,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1217.8,0.239,27.0,0.83,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2017,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,962.8,0.233,26.8,0.74,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,915.0,0.229,26.1,0.72,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2019,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1089.1,0.249,26.3,0.79,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2020,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1261.4,0.273,25.4,0.86,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1188.6,0.238,26.1,0.82,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4500
2022,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1632.8,0.249,26.1,0.92,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1302.3,0.244,26.4,0.86,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2024,Central_India,Chhattisgarh,Baloda Bazar,21.75,82.25,1181.1,0.24,26.5,0.81,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Balod,20.75,81.25,971.0,0.227,26.5,0.74,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Balod,20.75,81.25,1246.1,0.234,26.7,0.83,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2017,Central_India,Chhattisgarh,Balod,20.75,81.25,1211.4,0.239,26.6,0.82,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Balod,20.75,81.25,1273.2,0.228,26.0,0.84,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Balod,20.75,81.25,1245.5,0.242,26.4,0.84,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2020,Central_India,Chhattisgarh,Balod,20.75,81.25,1476.8,0.244,26.0,0.91,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Balod,20.75,81.25,1127.6,0.235,26.1,0.79,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4500
2022,Central_India,Chhattisgarh,Balod,20.75,81.25,1687.3,0.242,26.1,0.92,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Chhattisgarh,Balod,20.75,81.25,1186.7,0.234,26.3,0.81,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Balod,20.75,81.25,1240.0,0.252,26.5,0.84,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Balrampur,27.5,82.25,616.2,0.241,24.6,0.63,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Chhattisgarh,Balrampur,27.5,82.25,711.9,0.242,25.0,0.66,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Chhattisgarh,Balrampur,27.5,82.25,622.8,0.242,24.6,0.63,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Chhattisgarh,Balrampur,27.5,82.25,740.6,0.236,24.2,0.66,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1108.8,0.248,24.3,0.79,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3950
2020,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1503.0,0.279,23.3,0.94,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2021,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1569.9,0.265,23.9,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2022,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1151.9,0.262,24.1,0.81,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Chhattisgarh,Balrampur,27.5,82.25,777.7,0.233,24.7,0.68,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1121.9,0.261,24.5,0.8,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5335
2015,Central_India,Chhattisgarh,Bastar,19.0,82.0,1619.1,0.252,24.7,0.93,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Jute,2700
2016,Central_India,Chhattisgarh,Bastar,19.0,82.0,1681.9,0.255,24.8,0.93,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3200
2017,Central_India,Chhattisgarh,Bastar,19.0,82.0,1569.0,0.256,24.7,0.93,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3500
2018,Central_India,Chhattisgarh,Bastar,19.0,82.0,1414.3,0.25,24.2,0.9,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3700
2019,Central_India,Chhattisgarh,Bastar,19.0,82.0,2149.1,0.256,24.9,0.93,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3950
2020,Central_India,Chhattisgarh,Bastar,19.0,82.0,1766.8,0.262,24.4,0.93,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4225
2021,Central_India,Chhattisgarh,Bastar,19.0,82.0,1307.8,0.263,24.4,0.87,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4500
2022,Central_India,Chhattisgarh,Bastar,19.0,82.0,2003.5,0.255,24.4,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Chhattisgarh,Bastar,19.0,82.0,1642.5,0.25,24.7,0.93,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5050
2024,Central_India,Chhattisgarh,Bastar,19.0,82.0,1984.5,0.263,25.1,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5335
2015,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1168.5,0.228,26.6,0.8,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1024.1,0.242,26.8,0.76,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2017,Central_India,Chhattisgarh,Bemetara,21.75,81.5,905.3,0.241,26.7,0.72,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1316.1,0.23,26.1,0.85,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3700
2019,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1347.3,0.244,26.2,0.87,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1375.2,0.273,25.4,0.89,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
